id,planId,name,color
cmhbybwbm000is9wnvb9ungjy,cmhbybvsq0000s9wnicnvj6md,Label 3,#c3cc1a
cmhbybwbm000gs9wnvisk0vae,cmhbybvsq0000s9wnicnvj6md,Label 2,#faa937
cmhbybwbm000hs9wnt8qn4mij,cmhbybvsq0000s9wnicnvj6md,Label 1,#d13438
cmhbybwjm000ks9wn5xwj8j2r,cmhbybvsq0000s9wnicnvj6md,Label 6,#8f60ff
cmhbybwjq000ms9wn1v94r1v3,cmhbybvsq0000s9wnicnvj6md,Label 4,#2db7a3
cmhbybwku000os9wntpsjy2i4,cmhbybvsq0000s9wnicnvj6md,Label 5,#3b78ff
